thumbnail,x,y,tile_w,tile_h,mean_brightness,edge_mean
0_0.jpg,0,0,600,600,57.466,20.371
200_0.jpg,200,0,600,600,55.323,21.548
400_0.jpg,400,0,600,600,68.315,23.904
600_0.jpg,600,0,600,600,73.591,23.912
800_0.jpg,800,0,600,600,73.857,24.087
1000_0.jpg,1000,0,600,600,71.966,24.21
1200_0.jpg,1200,0,600,600,68.971,24.645
1400_0.jpg,1400,0,600,600,77.185,28.062
1600_0.jpg,1600,0,600,600,73.685,27.704
1800_0.jpg,1800,0,600,600,76.798,28.171
2000_0.jpg,2000,0,600,600,72.552,26.675
2200_0.jpg,2200,0,600,600,73.417,28.509
2400_0.jpg,2400,0,600,600,75.088,30.538
2600_0.jpg,2600,0,600,600,80.184,32.677
2800_0.jpg,2800,0,600,600,86.003,33.968
3000_0.jpg,3000,0,600,600,85.882,34.914
3200_0.jpg,3200,0,600,600,84.543,33.667
3400_0.jpg,3400,0,600,600,78.066,32.165
3600_0.jpg,3600,0,600,600,77.645,29.918
3800_0.jpg,3800,0,600,600,75.984,29.719
4000_0.jpg,4000,0,600,600,78.613,29.036
4200_0.jpg,4200,0,600,600,77.762,28.106
4400_0.jpg,4400,0,600,600,73.941,27.484
4600_0.jpg,4600,0,600,600,75.499,28.903
4800_0.jpg,4800,0,600,600,70.517,28.764
5000_0.jpg,5000,0,600,600,69.047,28.196
5200_0.jpg,5200,0,600,600,63.275,26.345
5400_0.jpg,5400,0,600,600,62.853,26.684
5600_0.jpg,5600,0,600,600,61.686,25.564
5800_0.jpg,5800,0,600,600,61.037,24.409
6000_0.jpg,6000,0,600,600,55.298,22.187
6200_0.jpg,6200,0,600,600,52.052,21.106
0_200.jpg,0,200,600,600,55.214,22.922
200_200.jpg,200,200,600,600,52.918,24.34
400_200.jpg,400,200,600,600,66.7,26.718
600_200.jpg,600,200,600,600,73.021,27.772
800_200.jpg,800,200,600,600,76.194,29.53
1000_200.jpg,1000,200,600,600,73.013,29.684
1200_200.jpg,1200,200,600,600,67.466,29.095
1400_200.jpg,1400,200,600,600,71.82,32.007
1600_200.jpg,1600,200,600,600,67.979,32.038
1800_200.jpg,1800,200,600,600,71.956,32.65
2000_200.jpg,2000,200,600,600,68.451,30.943
2200_200.jpg,2200,200,600,600,71.775,33.045
2400_200.jpg,2400,200,600,600,74.866,35.596
2600_200.jpg,2600,200,600,600,78.641,36.96
2800_200.jpg,2800,200,600,600,84.369,37.743
3000_200.jpg,3000,200,600,600,85.522,36.983
3200_200.jpg,3200,200,600,600,85.324,35.911
3400_200.jpg,3400,200,600,600,80.297,35.668
3600_200.jpg,3600,200,600,600,76.491,33.787
3800_200.jpg,3800,200,600,600,77.779,33.642
4000_200.jpg,4000,200,600,600,78.051,31.94
4200_200.jpg,4200,200,600,600,78.817,31.445
4400_200.jpg,4400,200,600,600,71.148,30.046
4600_200.jpg,4600,200,600,600,72.548,30.535
4800_200.jpg,4800,200,600,600,67.519,30.971
5000_200.jpg,5000,200,600,600,71.746,31.702
5200_200.jpg,5200,200,600,600,68.665,30.967
5400_200.jpg,5400,200,600,600,70.119,30.242
5600_200.jpg,5600,200,600,600,67.971,28.522
5800_200.jpg,5800,200,600,600,66.263,26.497
6000_200.jpg,6000,200,600,600,61.151,24.158
6200_200.jpg,6200,200,600,600,57.508,23.063
0_400.jpg,0,400,600,600,61.186,25.298
200_400.jpg,200,400,600,600,60.524,26.773
400_400.jpg,400,400,600,600,69.165,27.555
600_400.jpg,600,400,600,600,69.622,28.136
800_400.jpg,800,400,600,600,70.029,29.89
1000_400.jpg,1000,400,600,600,68.476,31.505
1200_400.jpg,1200,400,600,600,66.867,31.186
1400_400.jpg,1400,400,600,600,71.762,33.067
1600_400.jpg,1600,400,600,600,71.422,33.418
1800_400.jpg,1800,400,600,600,73.064,34.397
2000_400.jpg,2000,400,600,600,66.925,32.567
2200_400.jpg,2200,400,600,600,67.047,33.28
2400_400.jpg,2400,400,600,600,70.614,35.789
2600_400.jpg,2600,400,600,600,75.648,37.049
2800_400.jpg,2800,400,600,600,81.506,37.771
3000_400.jpg,3000,400,600,600,83.051,36.819
3200_400.jpg,3200,400,600,600,83.718,37.041
3400_400.jpg,3400,400,600,600,78.693,36.272
3600_400.jpg,3600,400,600,600,75.815,35.596
3800_400.jpg,3800,400,600,600,76.646,34.778
4000_400.jpg,4000,400,600,600,76.996,34.122
4200_400.jpg,4200,400,600,600,75.928,33.235
4400_400.jpg,4400,400,600,600,67.859,31.475
4600_400.jpg,4600,400,600,600,67.835,31.383
4800_400.jpg,4800,400,600,600,64.693,31.366
5000_400.jpg,5000,400,600,600,73.01,32.939
5200_400.jpg,5200,400,600,600,72.774,32.535
5400_400.jpg,5400,400,600,600,75.591,30.81
5600_400.jpg,5600,400,600,600,69.334,27.744
5800_400.jpg,5800,400,600,600,67.596,26.266
6000_400.jpg,6000,400,600,600,63.851,24.906
6200_400.jpg,6200,400,600,600,61.865,24.925
0_600.jpg,0,600,600,600,63.846,27.232
200_600.jpg,200,600,600,600,62.992,29.021
400_600.jpg,400,600,600,600,69.639,29.256
600_600.jpg,600,600,600,600,74.335,30.662
800_600.jpg,800,600,600,600,79.07,31.554
1000_600.jpg,1000,600,600,600,77.847,32.497
1200_600.jpg,1200,600,600,600,73.195,31.727
1400_600.jpg,1400,600,600,600,71.324,32.403
1600_600.jpg,1600,600,600,600,71.126,33.017
1800_600.jpg,1800,600,600,600,72.999,35.07
2000_600.jpg,2000,600,600,600,71.309,34.817
2200_600.jpg,2200,600,600,600,73.154,35.172
2400_600.jpg,2400,600,600,600,77.082,35.565
2600_600.jpg,2600,600,600,600,79.092,35.634
2800_600.jpg,2800,600,600,600,83.129,36.084
3000_600.jpg,3000,600,600,600,83.121,35.833
3200_600.jpg,3200,600,600,600,87.223,36.678
3400_600.jpg,3400,600,600,600,82.509,37.09
3600_600.jpg,3600,600,600,600,84.308,37.123
3800_600.jpg,3800,600,600,600,81.554,36.309
4000_600.jpg,4000,600,600,600,80.838,34.544
4200_600.jpg,4200,600,600,600,76.461,34.104
4400_600.jpg,4400,600,600,600,71.532,32.98
4600_600.jpg,4600,600,600,600,70.775,32.446
4800_600.jpg,4800,600,600,600,70.145,32.181
5000_600.jpg,5000,600,600,600,73.438,31.988
5200_600.jpg,5200,600,600,600,74.38,31.652
5400_600.jpg,5400,600,600,600,73.225,29.088
5600_600.jpg,5600,600,600,600,71.038,28.079
5800_600.jpg,5800,600,600,600,69.887,27.288
6000_600.jpg,6000,600,600,600,67.673,26.519
6200_600.jpg,6200,600,600,600,63.673,25.71
0_800.jpg,0,800,600,600,65.068,27.27
200_800.jpg,200,800,600,600,63.176,29.732
400_800.jpg,400,800,600,600,65.73,29.3
600_800.jpg,600,800,600,600,66.655,28.775
800_800.jpg,800,800,600,600,71.968,27.898
1000_800.jpg,1000,800,600,600,74.895,29.342
1200_800.jpg,1200,800,600,600,74.783,30.689
1400_800.jpg,1400,800,600,600,76.282,32.389
1600_800.jpg,1600,800,600,600,75.839,32.56
1800_800.jpg,1800,800,600,600,76.259,34.326
2000_800.jpg,2000,800,600,600,70.121,33.836
2200_800.jpg,2200,800,600,600,69.609,33.993
2400_800.jpg,2400,800,600,600,71.641,33.006
2600_800.jpg,2600,800,600,600,75.192,33.317
2800_800.jpg,2800,800,600,600,78.805,33.944
3000_800.jpg,3000,800,600,600,79.122,36.613
3200_800.jpg,3200,800,600,600,80.017,37.465
3400_800.jpg,3400,800,600,600,78.186,37.351
3600_800.jpg,3600,800,600,600,82.895,36.128
3800_800.jpg,3800,800,600,600,79.957,35.607
4000_800.jpg,4000,800,600,600,77.039,34.481
4200_800.jpg,4200,800,600,600,71.708,34.195
4400_800.jpg,4400,800,600,600,72.049,33.271
